Page,Line,Word,Information,media,Bookmarks
4,5,ومال الاٰخر لصهره,"(حم) ""عبد الرحمن بن عوف، وكان زوج ام كلثوم، وهي بنت اروى بنت كريز، وكانت اروى ام عثمان"".
يعني عبد الرحمن (بن عوف) مال الى عثمان، لان ام كلثوم بنت عقبة بن ابي معيط كانت تحته، وام كلثوم هذه هي اخت عثمان من امه اروى بنت كُرَيز. 
(شرح نهج البلاغة لابن ابي الحديد، ج/1، صـ189)",,
4,6,هنٍّ وهنٍّ,"هنَّ يَهِنُّ: بكى بكاء مثلَ الحنين، والهنين: مثلَ الاَنين، والهنين والاَنين والحنين قريبٌ بعضُها من بعض.",,
4,7,وقام معه بنو اَبيه يخضمون,"(حم) ""الخَضْمُ: اَكلٌ بكلِّ الفم، وضِدُّه: القَضْمُ، وهو الاَكل بِاَطراف الاَسنان، والمراد: انهم على قَدَم عظيمة (درجة كبيرة) من النَّهَم (اِفراط الشهوة في الطعام) وشدَّةِ الاَكل وامتلاء الاَفواه"".",,
4,7,نبتة,الواحدة من النبات.,,
4,8,فتله,الفَتْل: ليُّ الشيء كليِّك الحبلَ وكفَتْل الفتيلة.,,
4,8,اَجهز,"اَجْهَزَ على الْجَرِيحِ اَسْرَعَ قَتْلَهُ وَتَمَّمَهُ، والاجهاز: اِتمام قتل الجريح واِسراعه.",,
4,9,كعرف الضبع,"(حم) ""عُرف الضَّبُع: ثخين، ويُضرب به المَثَل في الازدحام""، وعرف الدابة: شعر عنقها.",,
4,9,ينثالون,"(ح) ""تناثل الناس اليه: [(حم): اي] انصبّوا، من ص"".
ورد في الرسالة الشريفة سلام نضرة النعيم (1387هـ) صـ 304: ""فما راعني الا والناس كعرف الضبع اليَّ، ينثالون عليَّ من كل جانب"".",,
4,9,وطي,وطِيَ وطِيتُه وطأً: لغة في وطِئتُه.,,
4,14,اَما والذي فلق الحبة وبرأ النسمة,"اَجمع الاَيمان عند العرب - ومثل هذا 
ومنها ايضاً ""لا والذي فلق الحبة ، وبرأ النسمة""، فلق الحبة اي شقها في الارض حتى تنبت، ثم اثمرت فكان منها حب كثير، وكل شيء شققته باثنين فقد فلقته، قال: والنسمة كل نفس ذات نفس فهى نسمة . وسميت نسمة لتنسمها الهواء.
(ايمان العرب في الجاهلية لابي اسحاق النجيرمي، صـ19)
قال صاحب كتاب محاضرات الادباء: ان هذا اليمين من حلف امير المؤمنين ع م.
(راجع محاضرات الادباء ومحاورات الشعراء البلغاء، صـ566)
قال ابن الاثير في كتابه النهاية: وَمِنْهُ حَدِيثُ عَلِيٍّ ""وَالَّذِي ‌فَلَقَ ‌الحبَّةَ وبَرَا النَّسَمة"" وَكَثِيرًا مَا كَانَ يُقْسِم بِهَا.
(النهاية في غريب الحديث والاثر لابن الاثير مجد الدين ابو السعادات (ت606)، ج\3، صـ472)",,
4,14,لو لا حضور الحاضر,"(من شرح نهج البلاغة)
قوله : لولا حضور الحاضر، يمكن ان يريد به لولا حضور البيعة، فانها بعد عقدها تتعين المحاماة عنها، ويمكن ان يريد بالحاضر مَنْ حَضَره من الجيش الذين يستعين بهم على الحرب.
(شرح نهج البلاغة لابن ابي الحديد، صـ130)",,
4,15,العلماء,"وردت الكلمةُ ""العلما""  في (ح) بحذف الهمزة في اٰخرها، وقد اطَّرد استخدام هذه الظاهرة في (ح)، وقيل: ان استخدامها لطلب الاختصار ولِعَدمِ اللَّبْسِ في مثل هذه الكلمات، كما قيل: اِنها وجدت في مخطوطات كتبت في العراق ومصر واليمن.
Chk if still can find anything more accurate on this",,
4,15,لا يقارّوا,"قارَّ صاحبَه: قرَّ معه وسكن، وافقه، وقيل: لا يتواضعوا ولا يسكنوا.",,
4,16,كظة,"البِطنة، وما يعتري على الاِنسان من الامتلاء من الطعام.",,
4,16,سغب,الجوع.,,
4,16,لاَلقيتُ حبلها على غاربها,"فَاَلْقِ حَبْلَهُ عَلَى غَارِبِهِ * زَيْدٍ وَمِلْ لَا تَكُ مِنْ جَانِبِهِ
اصله الناقة ان ارادوا ارسالها للرعي القوا جديلها على الغارب ولا يترك ساقطاً فيمنعها من الرعي، يُضرب لمن تكره معاشرته تقول دعه يذهب حيث شاء.
(فرائد اللآل في مجمع الامثال لابراهيم علي الاحدب الطرابلسي، ج\2، صـ178)",,
4,16,ولسقَيتُ اٰخرها بكأس اَولها,كناية عن المعاملة بالمثل.,,
4,17,عفطة عنز,"ما تنثره الدواب من اَنفها اذا عطست، والعنز: الانثى من المَعَزِ او اذا اتى عليها حولٌ.",,
4,18,اهل السواد,"سواد البلد ما حوله من القرى والريف، سُمِّي به لخضرة اَشجاره وزرعه، والمراد: ساكنو القرى.",,
4,ن 2,نافِجًا حِضنَيه,"(حم) ""الحِضْنُ: ما بين الابط والكشح، يقال للمتكبّر: جاء نافجًا حِضنَيه، ويقال لمن امتلأ بطنه طعاما: جاء نافجًا حِضنَيه، ومراده عليه السلام هذا الثاني (اي: المعنى الثاني)"".",,
